Word based distribution,Path length,mailto: present,Dash,Is title tag empty,Digit to alphabet ratio,ASN updation date,Tilde,Is English word,Is www present,Domain Age in Days,Is Pronounceable,Levenshtein Distance,Files in URL,Question Mark,Total links,Body tags in source,.js used,Label
1,33,0,0,0,0.0,1,0,1,1,3541,1,0,0,0,0,0,0,0
1,23,0,0,0,0.057142857,0,0,0,1,0,0,0,0,0,0,0,0,0
1,63,0,1,0,0.458333333,0,0,1,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0.0,1,0,1,1,6493,0,0,0,0,11,1,0,0
1,6,0,0,0,0.0,0,1,1,1,14417,0,0,0,0,109,1,0,0
1,7,0,0,0,0.0,0,1,1,1,14523,0,0,0,0,0,0,0,0
1,5,0,0,0,0.0,0,0,1,1,13810,0,0,0,0,0,0,0,0
1,5,0,0,0,0.0,1,0,1,1,5413,0,0,0,0,0,0,0,0
1,101,0,1,0,0.75147929,1,0,1,1,0,0,0,0,0,0,0,0,0
1,78,0,8,0,0.0,1,0,1,1,2911,0,0,0,0,0,1,0,0
1,11,0,0,0,0.0,1,1,1,1,11721,0,0,0,0,0,0,0,0
1,4,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0.541666667,1,0,1,0,3845,0,0,0,0,169,1,0,0
1,6,0,0,0,0.052631579,1,0,0,1,5711,0,0,0,0,24,1,0,0
1,6,0,0,0,0.0,1,0,1,1,3776,0,0,0,0,0,0,0,0
0,8,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,38,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,13,1,0,0,0.153846154,1,0,1,0,3586,0,0,0,0,109,1,0,0
1,19,0,0,0,0.133802817,0,0,0,0,0,0,0,0,1,0,0,0,0
1,8,0,0,0,0.0,1,0,1,1,3586,0,0,0,0,134,0,0,0
1,6,0,0,0,0.0,1,0,1,1,2474,0,0,0,0,10,1,0,0
1,10,0,0,0,0.0,1,0,1,0,4664,0,0,0,0,0,0,0,0
1,21,0,0,0,0.066666667,1,0,1,0,6158,1,0,0,1,0,0,0,0
1,17,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,20,0,0,0,0.0,1,0,1,0,3086,0,0,0,0,5,1,0,0
0,19,0,0,0,0.025641026,1,0,1,1,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,20,0,0,0,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0
1,26,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0.03030303,1,0,1,1,4013,1,0,0,1,0,0,1,0
1,49,0,1,0,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0
1,12,0,0,0,0.0,1,0,1,1,13325,0,0,0,0,0,0,0,0
1,14,0,0,0,0.0,1,0,1,0,1567,0,0,0,0,0,0,0,0
1,17,0,0,0,0.019607843,1,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,2,0,0.098360656,0,0,1,0,4259,0,0,0,0,0,0,0,0
0,25,0,0,0,0.119402985,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0.0,1,0,1,0,1264,1,0,0,0,0,0,0,0
1,14,0,0,0,0.0,1,0,1,1,7605,0,0,0,0,84,1,0,0
