Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,1,0,0.0,4.4514122398985,1,12,0,12,128,1,1,0,0,0,1,0.19672131147541,27,0,1,1,2,1,0,5,0
0,0,0,0.148148148148148,4.2866294867862,1,29,0,7,0,1,1,0,4,0,0,0.763157894736842,0,0,1,1,3,0,0,0,0
0,1,0,0.27027027027027,4.49738623569526,1,16,0,9,47,1,1,0,10,0,1,0.285714285714286,0,0,1,1,2,1,0,1,0
0,0,0,0.0153846153846153,4.42717189468505,0,45,0,13,0,1,1,0,1,0,0,0.569620253164557,0,0,1,1,6,1,0,0,0
0,0,0,0.0,4.18013221683878,1,18,0,9,0,1,1,0,0,0,0,0.295081967213115,0,0,1,1,3,0,0,0,0
0,0,0,0.0,3.85619629821938,1,18,0,7,0,1,1,0,0,0,0,0.666666666666667,0,0,1,0,2,1,0,1,0
0,1,0,0.0909090909090909,4.42929510647338,1,15,0,15,0,1,1,0,4,0,1,0.238095238095238,4,0,1,1,3,1,0,1,0
0,0,0,0.0,3.96690827235768,0,20,0,8,0,1,1,0,0,0,0,0.540540540540541,0,0,1,1,3,1,0,0,0
0,1,0,0.21875,4.69175413017399,1,22,0,17,120,1,1,0,14,0,1,0.231578947368421,64,0,1,1,3,1,1,5,0
0,1,1,0.16,4.35068478425551,1,21,0,8,78,1,1,1,4,0,1,0.567567567567568,35,0,1,1,2,1,1,0,0
0,1,0,0.233333333333333,4.21665136332403,1,12,0,8,790,1,1,0,7,0,1,0.266666666666667,353,0,1,1,2,1,0,0,0
0,1,1,0.0625,4.60045603367124,1,15,0,9,14,1,1,1,2,0,1,0.348837209302326,3,0,1,1,2,1,0,1,0
17,0,0,0.0294117647058823,4.60045603367124,0,21,0,8,0,1,1,0,1,0,0,0.488372093023256,0,0,1,1,3,1,0,0,0
0,1,0,0.0,4.17390993113075,1,22,0,7,0,1,1,0,0,0,0,0.536585365853659,23,0,1,1,3,1,0,0,0
0,1,1,0.163934426229508,4.70783706454036,1,18,0,12,0,1,1,1,10,0,1,0.216867469879518,66,0,1,1,3,1,0,0,0
0,0,0,0.144927536231884,4.41996083786657,0,11,0,21,0,1,1,0,10,0,0,0.11,0,0,1,1,2,1,0,11,0
0,0,1,0.230769230769231,4.59663791409189,0,22,0,11,0,1,1,1,9,0,0,0.372881355932203,0,0,1,1,4,1,0,0,0
0,0,0,0.0,4.06716518977786,1,15,0,7,0,1,1,0,0,0,0,0.405405405405405,0,0,1,1,2,1,0,0,0
0,0,0,0.212765957446809,4.73633420643089,1,16,0,10,0,1,1,0,10,0,0,0.238805970149254,0,0,1,1,2,1,0,2,0
0,0,0,0.0,3.98578082135646,1,15,0,6,0,1,1,0,0,0,0,0.416666666666667,0,0,1,1,2,1,0,0,0
0,0,0,0.0,4.16195322391921,0,24,0,8,0,1,1,0,0,0,0,0.585365853658537,0,0,1,1,3,0,0,0,0
0,0,0,0.0,4.33455306905444,0,20,0,10,0,1,1,0,0,0,0,0.377358490566038,0,0,1,1,3,1,0,0,0
0,1,1,0.09375,4.28273985702781,1,23,0,9,124,1,1,1,3,0,1,0.522727272727273,20,0,1,1,2,1,1,0,0
8,0,0,0.08,4.27928742924157,1,26,0,11,0,1,1,0,4,0,0,0.4,0,0,1,1,4,1,0,0,0
0,0,0,0.0,4.27086260294268,1,19,0,9,0,1,1,0,0,0,0,0.333333333333333,0,0,1,1,2,1,0,0,0
0,0,0,0.0,3.99523789138089,0,20,0,6,0,1,1,0,0,0,0,0.689655172413793,0,0,1,1,2,0,0,0,0
0,0,0,0.0,4.18695448963606,0,20,0,9,0,1,1,0,0,0,0,0.434782608695652,0,0,1,1,3,1,0,0,0
0,0,0,0.0,4.13738034540107,1,25,0,9,0,1,1,0,0,0,0,0.520833333333333,0,0,1,0,3,1,0,1,0
0,0,0,0.1,4.44768338647617,1,25,0,12,0,1,1,1,6,0,0,0.320512820512821,0,0,1,1,3,1,0,1,0
0,1,0,0.0,4.20130209731876,1,12,0,11,0,1,1,0,0,0,1,0.162162162162162,0,0,1,1,3,1,0,0,0
0,0,3,0.186046511627907,4.72792219014511,1,20,0,14,0,0,1,1,8,0,0,0.307692307692308,0,0,1,1,4,1,0,0,0
0,0,2,0.0597014925373134,4.71118089512409,1,16,2,15,0,1,1,1,4,0,0,0.186046511627907,0,0,1,1,3,1,0,0,0
9,1,1,0.0625,4.46999927845178,1,15,0,9,14,1,1,1,2,0,1,0.348837209302326,3,2,1,1,2,1,0,0,0
0,1,0,0.18,4.66710516852287,1,18,0,14,2,1,1,0,9,0,0,0.246575342465753,72,0,1,1,3,1,0,6,0
0,1,0,0.0588235294117647,4.29762672139267,1,14,1,8,1,1,1,0,2,0,1,0.318181818181818,14,0,1,1,2,1,1,0,0
0,0,0,0.111111111111111,4.4389640225105,0,45,0,12,0,1,1,0,6,0,0,0.625,0,0,1,1,6,1,0,0,0
0,0,0,0.0,4.15229561306383,1,19,0,10,0,1,1,0,0,0,0,0.365384615384615,0,0,1,1,3,1,0,1,0
0,1,2,0.4,4.69032862128034,1,16,0,11,47,0,1,1,14,0,1,0.266666666666667,0,0,1,1,3,1,0,0,0
