Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,1,0,0.0,3.926108501,1,25,0,5,0,1,0,0,0,0,0,0.78125,95,0,0,1,2,1,0,0,0
0,1,0,0.0,3.686419411,1,19,0,5,162,1,0,0,0,0,1,0.730769231,205,0,0,1,2,1,0,0,0
0,0,0,0.333333333,3.522571589,1,14,0,5,0,1,0,0,4,0,0,0.666666667,0,0,0,0,2,1,0,0,0
0,1,0,0.0,3.572623664,1,15,0,5,8,1,0,0,0,0,0,0.681818182,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.576617645,1,12,0,5,58,1,0,0,0,0,1,0.631578947,71,0,0,1,2,1,1,0,0
0,0,0,0.0,3.546439345,1,13,0,5,0,1,0,0,0,0,0,0.65,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.446439345,1,13,0,5,220,1,0,0,0,0,1,0.65,32,0,0,1,2,0,0,0,0
0,1,0,0.0,3.446439345,1,13,0,5,40,1,0,0,0,0,1,0.65,56,0,0,1,2,1,0,0,0
0,1,0,0.0,3.89366069,1,18,0,5,27,1,0,0,0,0,0,0.72,24,0,0,1,2,1,0,0,0
0,1,0,0.0,3.784941827,1,14,0,5,1,1,0,0,0,0,0,0.666666667,1,0,0,1,2,1,1,0,0
0,0,0,0.0,3.847742679,1,23,0,6,0,1,0,0,0,0,0,0.766666667,0,0,0,1,3,1,0,0,0
0,0,0,0.0,3.902174814,0,19,0,5,0,1,0,0,0,0,0,0.730769231,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.246439345,1,13,0,6,0,1,0,0,0,0,0,0.65,0,0,0,1,3,0,0,0,0
0,1,0,0.0,3.884155095,1,20,0,6,474,1,0,0,0,0,1,0.740740741,379,0,0,1,3,1,0,0,0
0,1,0,0.25,4.13366069,1,18,0,5,0,1,0,0,4,0,1,0.72,78,0,0,0,2,1,1,0,0
0,1,0,0.0,3.260828171,1,12,0,5,91,1,0,0,0,0,1,0.631578947,39,0,0,1,2,1,1,0,0
0,1,0,0.0,3.767183468,1,19,0,5,69,1,0,0,0,0,1,0.730769231,18,0,0,1,2,1,1,0,0
0,1,0,0.0,3.882045108,1,16,0,5,208,1,0,0,0,0,0,0.695652174,21,0,0,1,2,1,0,0,0
0,0,0,0.0,3.884858892,0,26,0,7,0,1,0,0,0,0,0,0.787878788,0,0,0,1,4,0,0,0,0
0,0,0,0.0,3.334209459,1,15,0,6,0,1,0,0,0,0,0,0.681818182,0,0,0,1,3,0,0,0,0
0,0,0,0.0,3.740601563,1,17,0,5,0,1,0,0,0,0,0,0.708333333,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.921029622,1,19,0,5,82,1,0,0,0,0,0,0.730769231,0,0,0,1,2,0,1,0,0
0,1,0,0.0,3.937751955,1,24,0,5,27,1,0,0,0,0,1,0.774193548,3,0,0,1,2,1,1,0,0
0,1,0,0.0,3.633974076,1,20,0,5,0,1,0,0,0,0,0,0.740740741,363,0,0,1,2,1,0,0,0
0,0,0,0.0,3.653996739,0,16,0,5,0,1,0,0,0,0,0,0.695652174,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.014438731,1,28,0,5,159,1,0,0,0,0,0,0.8,68,0,0,1,2,1,0,0,0
0,1,0,0.0,3.921029622,1,19,0,6,72,1,0,0,0,0,1,0.730769231,11,0,0,1,3,1,0,0,0
0,1,0,0.0,3.663532755,1,15,0,6,77,1,0,0,0,0,1,0.681818182,21,0,0,0,2,1,1,1,0
0,1,0,0.0,3.810081021,1,20,0,5,160,1,0,0,0,0,0,0.740740741,109,0,0,1,2,1,0,0,0
0,0,0,0.0,3.43326969,0,18,0,6,0,1,0,0,0,0,0,0.72,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.736006946,1,20,0,6,20,1,0,0,0,0,1,0.740740741,14,0,0,0,2,1,0,1,0
0,1,0,0.066666667,3.689703732,1,14,0,5,121,1,0,0,1,0,1,0.666666667,1,0,0,0,2,1,0,0,0
0,2,0,0.0,3.842370993,1,21,0,6,345,1,0,0,0,0,1,0.75,13,0,0,1,3,1,1,0,0
0,1,0,0.0,3.912113891,1,20,0,6,74,1,0,0,0,0,1,0.740740741,5,0,0,0,2,0,0,1,0
0,1,0,0.0,3.819244739,1,27,0,5,62,1,0,0,0,0,1,0.794117647,23,0,0,1,2,1,0,0,0
0,1,0,0.0,3.796217603,1,19,0,5,72,1,0,0,0,0,1,0.730769231,13,0,0,1,2,1,0,0,0
0,1,0,0.0,3.337175341,1,10,0,5,157,1,0,0,0,0,1,0.588235294,4,0,0,1,2,1,1,0,0
0,1,0,0.0,3.576617645,1,12,0,5,0,1,0,0,0,0,1,0.631578947,379,0,0,1,2,1,1,0,0
0,1,0,0.0,3.986187965,1,20,0,5,120,1,0,0,0,0,1,0.740740741,74,0,0,1,2,1,0,0,0
0,1,0,0.0,4.150158513,1,26,0,5,18,1,0,0,0,0,1,0.787878788,2,0,0,1,2,1,1,0,0
0,1,0,0.0,3.576617645,1,12,0,5,262,1,0,0,0,0,1,0.631578947,125,0,0,1,2,1,1,0,0
0,1,0,0.0,3.952302978,1,22,0,5,30,1,0,0,0,0,0,0.75862069,1,0,0,1,2,1,0,0,0
0,1,0,0.0,4.272331065,1,32,0,5,67,1,0,0,0,0,1,0.820512821,24,0,0,1,2,1,0,0,0
0,1,0,0.0,4.142295219,1,22,0,6,29,1,0,0,0,0,1,0.75862069,6,0,0,0,2,1,0,1,0
0,0,0,0.25,3.48418372,1,13,0,5,0,1,0,0,3,0,0,0.65,0,0,0,0,2,1,0,0,0
0,0,0,0.0,3.856564762,1,23,0,5,0,1,0,0,0,0,0,0.766666667,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.823934896,1,17,0,7,0,1,0,0,0,0,0,0.708333333,10,0,0,0,3,1,0,1,0
0,1,0,0.0,3.849223912,1,16,0,5,0,1,0,0,0,0,1,0.695652174,3,0,0,1,2,1,0,0,0
0,1,0,0.0,3.731286772,1,33,0,5,0,1,0,0,0,0,1,0.825,172,0,0,1,2,1,1,0,0
0,1,0,0.0,3.697845823,1,15,0,5,31,1,0,0,0,0,0,0.681818182,30,0,0,1,2,1,0,0,0
0,1,0,0.0,3.882045108,1,16,0,5,83,1,0,0,0,0,0,0.695652174,0,0,0,1,2,1,0,0,0
