Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
43,1,1,0.0,3.950063756,1,11,0,8,0,1,1,1,0,0,0,0.423076923,0,0,0,1,2,0,0,0,0
14,0,0,0.0,4.17938272,0,17,0,14,0,1,1,0,0,0,0,0.265625,0,0,0,1,5,1,0,0,0
21,0,0,0.0,4.088119346,0,18,0,11,0,1,0,0,0,0,0,0.375,0,0,0,1,5,0,0,0,0
9,0,0,0.0,3.810081021,1,15,0,8,19,1,1,0,0,0,0,0.555555556,3,0,0,1,3,0,1,0,0
12,0,0,0.093023256,4.659313646,1,13,0,10,0,1,1,0,4,0,0,0.228070175,0,0,0,1,3,1,0,1,0
30,0,0,0.0,4.028407601,0,34,0,9,0,1,0,0,0,0,0,0.80952381,0,0,0,1,3,0,0,2,0
9,1,0,0.0,4.169128946,1,12,0,12,0,1,0,0,0,0,0,0.196721311,1,1,0,1,2,0,0,1,0
8,0,0,0.162790698,4.564870067,1,18,0,9,37,1,1,0,7,0,0,0.305084746,290,10,0,1,3,1,1,0,0
0,0,0,0.264705882,4.522744927,0,27,0,10,0,0,0,0,9,0,0,0.509433962,0,0,0,0,4,1,0,0,0
0,0,0,0.0,4.043801695,1,20,0,9,0,1,1,0,0,0,0,0.606060606,0,0,0,1,3,0,0,0,0
0,0,3,0.25,5.001569328,1,19,0,18,0,1,0,1,12,0,0,0.243589744,0,0,0,1,4,1,0,0,0
0,0,0,0.0,3.631478391,1,21,0,8,0,1,0,0,0,0,0,0.583333333,0,0,0,1,3,1,0,0,0
0,0,2,0.091954023,4.936351797,0,18,6,36,0,1,1,2,8,0,0,0.13740458,0,0,0,1,7,1,0,1,0
0,1,0,0.0,3.864698326,1,18,0,8,5,1,1,0,0,0,0,0.580645161,10,0,0,1,3,0,0,0,0
0,0,0,0.0,3.902311576,0,16,0,6,0,1,0,0,0,0,0,0.592592593,0,0,0,1,2,0,0,0,0
0,0,0,0.060606061,4.330416152,0,17,0,10,0,1,0,0,2,0,0,0.377777778,0,0,0,1,4,1,0,0,0
