Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,1,3,0.0,4.41999065741729,1,18,0,32,755,1,0,1,0,0,1,0.128571428571429,239,0,0,1,2,1,0,1,0
0,0,0,0.0,4.30233209584683,1,16,0,14,0,1,0,0,0,0,0,0.166666666666667,0,0,0,1,3,1,0,4,0
0,0,0,0.318181818181818,5.19182513257288,1,10,12,24,151,1,0,0,21,0,0,0.09009009009009,0,0,0,1,3,1,0,1,0
0,0,1,0.044776119402985,4.45013592266143,1,18,0,17,0,1,0,1,3,0,0,0.206896551724138,0,0,0,1,6,1,0,1,0
0,1,0,0.188235294117647,4.58502720472689,1,15,0,28,140,1,0,0,16,0,1,0.116279069767442,52,0,0,1,3,1,1,17,0
0,1,0,0.171428571428571,4.49383675850162,1,18,0,16,20,1,0,0,12,0,0,0.183673469387755,23,0,0,1,2,1,0,6,0
0,0,0,0.17741935483871,4.60196552662993,1,16,0,17,54,1,0,0,11,0,0,0.177777777777778,0,0,0,0,2,1,0,7,0
0,1,0,0.174603174603175,5.02317743558096,1,19,0,16,305,1,0,0,11,0,0,0.211111111111111,0,0,0,1,2,0,0,0,0
0,1,0,1.17910447761194,4.06206756734827,1,11,57,68,162,1,0,0,79,0,1,0.0514018691588785,5,0,0,1,2,1,0,2,0
0,1,0,0.172413793103448,4.39214303119457,1,19,0,19,232,1,0,0,10,0,1,0.218390804597701,4,0,0,1,4,0,1,10,0
0,0,0,0.322033898305085,4.65834914342583,1,13,0,19,0,1,0,0,19,0,0,0.134020618556701,0,0,0,0,3,0,0,11,0
0,1,0,0.161290322580645,4.83432104033395,1,19,0,16,296,1,0,0,10,0,0,0.215909090909091,0,0,0,1,2,0,0,0,0
0,0,1,0.0729166666666666,4.67380156098587,1,15,0,22,0,1,0,1,7,0,0,0.12,0,0,0,1,3,1,0,9,0
0,0,3,0.291666666666667,5.05186937447898,1,15,6,24,0,1,0,1,28,0,0,0.101351351351351,0,0,0,1,3,0,0,2,0
0,0,0,0.0198019801980198,4.27406212731587,0,12,0,22,0,1,0,0,2,0,0,0.096,0,0,0,1,2,1,0,14,0
0,1,0,0.168539325842697,4.50535198086267,1,15,0,23,142,1,0,0,15,0,1,0.118110236220472,48,0,0,1,3,1,1,12,0
0,1,0,0.101449275362319,4.37423602859515,1,20,0,12,418,1,0,0,7,0,1,0.227272727272727,134,0,0,1,2,1,1,4,0
0,1,0,0.0126582278481012,4.33056848747785,1,21,0,17,12,1,0,0,1,0,1,0.216494845360825,56,0,0,1,3,0,0,10,0
0,0,0,0.0674157303370786,4.41054877679434,0,12,0,19,0,1,0,0,6,0,0,0.105263157894737,0,0,0,1,2,1,0,11,0
0,1,0,0.0,4.24786740829774,1,21,0,20,295,1,0,0,0,0,1,0.154411764705882,94,0,0,1,2,1,0,10,0
0,1,1,0.0326086956521739,5.16521754922787,1,25,0,21,96,1,0,1,3,0,0,0.21551724137931,47,0,0,1,2,1,1,13,0
0,1,0,0.0833333333333333,4.30164610266099,1,19,0,23,229,1,0,0,6,0,1,0.188118811881188,3,0,0,1,4,0,1,14,0
0,0,0,0.112676056338028,4.43422167565549,1,18,0,19,0,1,0,0,8,0,0,0.183673469387755,0,0,0,1,3,1,0,6,0
0,0,0,0.224137931034483,4.10567476977932,0,17,20,28,0,1,0,0,13,0,0,0.171717171717172,0,0,0,1,2,0,0,0,0
0,1,1,0.351851851851852,4.96282097148465,1,13,2,22,68,1,0,1,19,0,1,0.136842105263158,0,0,0,1,4,0,0,2,0
0,0,0,0.125,4.20657425117243,1,19,0,21,0,1,0,0,8,0,0,0.204301075268817,0,0,0,0,4,1,0,13,0
0,0,0,0.973684210526316,3.90708911298059,1,13,28,35,0,1,0,0,37,0,0,0.118181818181818,0,0,0,1,2,0,0,0,0
0,0,0,0.0129870129870129,4.34038465235553,1,11,0,20,0,1,0,0,1,0,0,0.112244897959184,0,0,0,0,2,0,0,12,0
0,0,0,0.0,4.19831912699247,0,21,0,17,0,1,0,0,0,0,0,0.228260869565217,0,0,0,1,3,1,0,10,0
0,1,0,0.0895522388059701,4.58335733640903,1,14,0,17,144,1,0,0,6,0,1,0.155555555555556,37,0,0,1,2,1,0,8,0
0,1,1,0.0789473684210526,4.68419412617563,1,19,0,16,147,1,0,1,6,0,1,0.193877551020408,75,0,0,1,2,1,0,6,0
0,0,0,0.0459770114942528,4.48255940784717,1,10,0,22,118,1,0,0,4,0,0,0.0884955752212389,0,0,0,1,2,1,0,13,0
0,1,0,0.206349206349206,4.75496670794299,1,16,0,14,5,1,0,0,13,0,0,0.177777777777778,1,0,1,1,2,1,0,5,0
0,0,3,0.0434782608695652,5.10671103235535,1,20,0,25,0,0,0,1,5,0,0,0.137931034482759,0,0,0,0,4,0,0,3,0
0,0,1,0.0595238095238095,4.46002209474015,1,11,0,25,0,1,0,1,5,0,0,0.0964912280701754,0,0,0,0,2,0,0,15,0
0,1,0,0.276923076923077,4.3938580496392,1,13,0,23,0,1,0,0,18,0,0,0.122641509433962,0,0,0,0,3,0,0,15,0
0,0,5,0.313953488372093,4.64821724095123,1,17,0,20,0,1,0,1,27,0,0,0.12781954887218,0,0,0,1,3,1,0,0,0
0,0,0,0.0923076923076923,4.47155715264992,1,11,0,17,67,1,0,0,6,0,0,0.125,0,0,0,1,2,1,0,9,0
0,0,0,0.0285714285714285,4.16775953975347,1,10,0,20,0,1,0,0,3,0,0,0.078125,0,0,0,1,2,0,0,8,0
0,1,0,0.0,4.39289586719435,1,16,0,15,251,1,0,0,0,0,1,0.166666666666667,26,0,0,1,4,1,0,2,0
0,0,1,0.220779220779221,4.82981113770763,1,17,0,17,0,1,0,1,17,0,0,0.153153153153153,0,0,0,1,3,1,0,6,0
0,0,0,0.0,4.12413420062709,0,21,0,23,0,1,0,0,0,0,0,0.201923076923077,0,0,0,1,3,1,0,16,0
0,0,2,0.596153846153846,4.93901745663924,1,14,0,14,0,0,0,1,31,0,0,0.144329896907216,0,0,0,1,3,1,0,0,0
0,1,0,0.0,4.36861040328164,1,21,0,23,314,1,0,0,0,0,1,0.144827586206897,68,0,0,1,2,1,0,13,0
0,1,0,0.209677419354839,4.52981646717131,1,17,0,20,176,1,0,0,13,0,1,0.178947368421053,182,0,0,1,2,1,0,12,0
0,0,0,0.362068965517241,4.85512081369185,0,19,4,27,0,1,0,0,21,0,0,0.179245283018868,0,0,0,1,3,1,0,4,0
9,0,2,0.0,4.26248360704342,1,17,0,18,22,1,0,1,0,0,0,0.168316831683168,0,0,1,1,3,1,0,1,0
0,0,4,0.232142857142857,4.9615185754877,1,17,6,25,0,0,0,1,13,0,0,0.180851063829787,0,0,0,1,3,1,0,0,0
15,0,0,0.819444444444444,3.71512878708822,1,13,52,65,0,1,0,0,59,0,0,0.0663265306122449,0,2,0,1,2,1,0,4,0
9,0,0,0.0895522388059701,4.51534152158748,1,13,0,17,0,1,0,0,6,0,0,0.144444444444444,0,0,0,1,3,1,0,7,0
