Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,1,0,0.0,4.02126849490377,1,22,0,5,0,1,1,0,0,0,0,0.758620689655172,3,0,0,1,2,1,0,0,0
0,0,0,0.0,4.03063906222957,1,24,0,6,0,1,1,0,0,0,0,0.75,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.94546495249511,1,14,0,7,0,1,1,0,0,0,0,0.424242424242424,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.14999651670767,1,17,0,7,509,1,1,0,0,0,1,0.414634146341463,87,0,0,1,2,1,0,0,0
0,1,0,0.0,3.74060156295072,1,16,0,6,1352,1,1,0,0,0,0,0.666666666666667,628,0,0,1,2,1,0,0,0
0,1,0,0.0,4.1550455468258,1,20,0,6,258,1,1,0,0,0,0,0.714285714285714,102,0,0,1,2,1,0,0,0
0,0,0,0.0,3.87290559532006,0,22,0,6,0,1,1,0,0,0,0,0.733333333333333,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.92095859334435,1,16,0,7,0,1,0,0,0,0,0,0.5,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.81640271664439,1,15,0,6,294,1,1,0,0,0,1,0.652173913043478,71,0,0,1,2,1,0,0,0
0,0,0,0.0,4.2746903818446,1,21,0,8,0,1,0,0,0,0,0,0.403846153846154,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.82823750184296,1,19,0,6,83,1,1,0,0,0,1,0.703703703703704,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.22217431122406,1,29,0,7,27,1,1,0,0,0,0,0.783783783783784,36,0,0,1,3,1,0,0,0
0,0,0,0.0256410256410256,4.05525579311239,0,27,0,8,0,1,0,0,1,0,0,0.5625,0,0,0,1,3,0,0,0,0
8,1,0,0.0,3.57393489628406,1,16,0,6,0,1,1,0,0,0,0,0.666666666666667,3,1,0,1,2,1,0,0,0
18,0,0,0.0,4.02844515943123,0,27,0,7,0,1,1,0,0,0,0,0.771428571428572,0,0,0,1,3,0,0,0,0
26,0,0,0.0,3.6714055834425,1,18,0,6,0,1,1,0,0,0,0,0.692307692307692,0,0,0,1,2,1,0,0,0
9,1,0,0.0,3.98989809546429,1,22,0,7,20,1,1,0,0,0,0,0.733333333333333,19,9,0,0,2,1,1,1,0
9,0,0,0.0,4.02085512047121,1,26,0,6,0,1,1,0,0,0,0,0.764705882352941,0,8,0,1,2,1,0,0,0
9,1,0,0.0,3.51326968951511,1,17,0,6,30,1,1,0,0,0,1,0.68,1,0,0,1,2,1,0,0,0
32,0,0,0.0,4.14674033589619,1,17,0,7,398,1,1,0,0,0,0,0.395348837209302,1,0,0,1,2,1,0,0,0
17,0,0,0.0,3.84922391239063,1,15,0,6,0,1,1,0,0,0,0,0.652173913043478,0,0,0,1,2,1,0,0,0
8,0,0,0.0,4.29808398863204,0,36,0,9,0,1,0,0,0,0,0,0.631578947368421,0,1,0,1,4,0,0,0,0
22,1,0,0.0,3.49922754172336,1,13,0,6,53,1,1,0,0,0,1,0.619047619047619,32,8,0,1,2,1,0,0,0
49,1,0,0.0,4.05869496956284,1,32,0,7,0,1,0,0,0,0,0,0.8,0,0,0,1,3,1,0,0,0
9,1,4,0.063063063063063,4.68783128925697,1,18,0,21,0,1,1,1,7,0,0,0.129496402877698,5,1,0,1,3,1,0,0,0
19,1,0,0.0,3.44643934467102,1,12,0,6,969,1,1,0,0,0,1,0.6,210,2,0,1,2,1,0,0,0
8,1,0,0.0,3.66898695845306,1,21,0,5,98,1,1,0,0,0,0,0.75,100,2,0,1,2,1,1,0,0
9,0,0,0.0,4.04697420724848,1,18,0,7,0,1,1,0,0,0,0,0.4,0,11,0,1,3,1,0,0,0
14,0,0,0.0,3.6292196865241,0,14,0,7,0,1,1,0,0,0,0,0.636363636363636,0,0,0,1,3,0,0,0,0
21,0,0,0.0,3.78436848759686,0,19,0,9,0,1,0,0,0,0,0,0.612903225806452,0,0,0,1,4,0,0,0,0
8,1,0,0.0,3.81031723757278,1,31,0,5,22,1,1,0,0,0,0,0.815789473684211,93,0,0,1,2,1,0,0,0
9,0,0,0.0,4.0179179007621,1,13,0,9,0,1,1,0,0,0,0,0.382352941176471,0,0,0,1,2,1,0,0,0
18,0,0,0.0,3.97885008127123,1,16,0,8,0,1,1,0,0,0,0,0.372093023255814,0,0,0,1,3,1,0,0,0
9,1,0,0.0,4.23326968951511,1,16,0,9,35,1,1,0,0,0,0,0.32,32,2,0,1,3,1,0,0,0
9,1,0,0.0,3.57243125132212,1,11,0,5,492,1,1,0,0,0,1,0.611111111111111,132,2,0,1,2,1,0,0,0
16,0,0,0.0,3.91555328506335,0,29,0,9,0,1,1,0,0,0,0,0.783783783783784,0,0,0,1,5,0,0,0,0
14,0,0,0.0,3.68970373219955,1,14,0,5,0,1,1,0,0,0,0,0.666666666666667,0,8,0,1,2,0,0,0,0
9,1,0,0.0,4.08041451398524,1,17,0,8,0,1,1,0,0,0,0,0.45945945945946,136,0,0,0,3,1,0,1,0
9,1,1,0.0,4.20706738639996,1,20,0,9,76,1,1,1,0,0,1,0.416666666666667,58,2,0,1,3,1,1,0,0
15,1,0,0.0,3.84888461662912,1,23,0,6,0,1,1,0,0,0,0,0.741935483870968,0,0,0,1,2,1,0,0,0
13,1,0,0.0816326530612244,4.50577480084884,1,13,0,13,0,1,1,0,4,0,0,0.196969696969697,3,1,0,0,3,0,0,0,0
9,1,0,0.0,3.41308843642576,1,14,0,7,169,1,1,0,0,0,1,0.636363636363636,76,2,0,1,3,0,0,0,0
41,0,0,0.0,4.05778104376961,0,15,0,9,0,1,0,0,0,0,0,0.326086956521739,0,0,0,1,3,0,0,1,0
8,1,0,0.0,3.60693673217532,1,15,0,5,0,1,1,0,0,0,0,0.681818181818182,0,2,0,1,2,1,0,0,0
21,0,0,0.0,3.93624341298306,0,22,0,6,0,1,1,0,0,0,0,0.733333333333333,0,0,0,1,2,0,0,0,0
15,1,0,0.0,3.66353275480425,1,14,0,7,1,1,1,0,0,0,0,0.636363636363636,13,0,0,0,2,1,1,1,0
8,1,0,0.111111111111111,4.16298074422591,1,22,0,9,1,1,0,0,3,0,0,0.564102564102564,86,2,0,1,3,1,0,0,0
8,0,0,0.0,3.42733349389827,0,13,0,6,0,1,1,0,0,0,0,0.619047619047619,0,1,0,1,2,0,0,0,0
24,1,0,0.0,4.05656476213096,1,23,0,5,11,1,1,0,0,0,1,0.766666666666667,21,2,0,1,2,1,0,0,0
35,1,0,0.0,4.02126849490377,1,21,0,6,0,1,1,0,0,0,0,0.724137931034483,0,0,0,1,2,1,0,0,0
52,0,0,0.0,3.94035104292869,0,28,0,7,0,1,1,0,0,0,0,0.777777777777778,0,0,0,0,2,0,0,1,0
9,0,0,0.0,4.0092869265055,1,10,0,10,0,1,1,0,0,0,0,0.212765957446809,0,0,0,1,3,1,0,0,0
0,0,0,0.121212121212121,4.17174377806719,0,16,0,10,0,1,1,0,4,0,0,0.340425531914894,0,0,0,1,3,0,0,0,0
0,0,0,0.032258064516129,4.20483401847097,0,18,0,10,0,1,1,0,1,0,0,0.428571428571429,0,0,0,0,4,0,0,1,0
0,1,0,0.153846153846154,4.14597217184024,1,18,0,8,472,1,0,0,4,0,1,0.473684210526316,1467,0,0,1,3,1,1,0,0
0,0,0,0.0,3.72012877743319,1,14,0,7,0,1,1,0,0,0,0,0.636363636363636,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.82393489628406,1,16,0,6,45,1,1,0,0,0,1,0.666666666666667,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.91211389097223,1,20,0,5,22,1,1,0,0,0,1,0.740740740740741,14,0,0,1,2,1,1,0,0
0,0,0,0.0,4.03577868177861,0,26,0,10,0,1,0,0,0,0,0,0.553191489361702,0,0,0,1,4,0,0,0,0
0,1,0,0.28125,4.39030058683525,1,12,0,12,685,1,0,0,9,0,0,0.226415094339623,93,0,0,1,3,1,0,3,0
0,1,0,0.0555555555555555,4.12706563089337,1,19,0,8,0,1,1,0,2,0,1,0.41304347826087,292,0,0,1,3,1,0,0,0
0,0,0,0.0,4.35993001184588,1,18,0,10,0,1,1,0,0,0,0,0.339622641509434,0,0,0,1,3,1,0,1,0
0,1,0,0.0,3.5804621997271,1,19,0,5,7,1,1,0,0,0,0,0.730769230769231,42,0,0,1,2,1,1,0,0
0,0,0,0.0,4.25500382698401,1,15,0,10,0,1,1,0,0,0,0,0.277777777777778,0,0,0,1,3,1,0,0,0
0,0,1,0.178571428571429,4.35006891061644,1,15,0,9,0,0,1,1,5,0,0,0.357142857142857,136,0,0,1,3,1,0,0,0
0,0,0,0.0,4.11583409216322,1,12,0,8,0,1,1,0,0,0,0,0.315789473684211,0,0,0,1,3,1,0,0,0
0,1,3,0.103448275862069,4.54101852175928,1,15,0,15,136,0,1,1,6,0,1,0.189873417721519,45,0,0,1,3,1,0,0,0
0,1,0,0.04,4.08955245256067,1,17,0,7,509,1,1,0,1,0,1,0.515151515151515,77,0,0,1,2,1,0,0,0
0,0,0,0.0,3.55851861304891,1,13,0,6,0,1,1,0,0,0,0,0.619047619047619,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.65726822961739,1,16,0,6,12,1,1,0,0,0,0,0.666666666666667,4,0,0,1,2,1,0,0,0
0,0,0,0.0,3.81437194317963,1,22,0,6,0,1,1,0,0,0,0,0.758620689655172,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.8154107252427,1,20,0,7,78,1,1,0,0,0,0,0.714285714285714,76,0,0,1,3,1,1,0,0
0,0,0,0.0,4.06978611199742,1,23,0,9,0,1,1,0,0,0,0,0.442307692307692,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.36804242257272,1,13,0,6,6,1,1,0,0,0,0,0.619047619047619,8,0,0,1,2,1,0,0,0
0,1,0,0.0,3.95951854910304,1,17,0,8,509,1,1,0,0,0,1,0.333333333333333,78,0,0,1,3,1,0,0,0
0,0,0,0.0,3.78175365558017,1,11,0,8,0,1,1,0,0,0,0,0.305555555555556,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.90563906222957,0,24,0,7,0,1,1,0,0,0,0,0.75,0,0,0,1,3,0,0,0,0
0,0,0,0.0,3.84313906222957,0,24,0,6,0,1,0,0,0,0,0,0.75,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.93957226198672,0,22,0,6,0,1,1,0,0,0,0,0.733333333333333,0,0,0,1,2,0,0,0,0
0,1,0,0.0,3.81366068968819,1,18,0,5,49,1,1,0,0,0,1,0.72,34,0,0,1,2,1,0,0,0
0,0,0,0.0,3.91130614599952,0,27,0,6,0,1,1,0,0,0,0,0.771428571428572,0,0,0,1,2,0,0,0,0
0,1,0,0.0,4.24301015955486,1,28,0,6,407,1,0,0,0,0,1,0.8,70,0,0,0,2,1,0,1,0
0,0,0,0.0,4.04427705884096,1,14,0,8,0,1,1,0,0,0,0,0.274509803921569,41,0,0,1,3,1,0,0,0
0,1,0,0.0,3.66122625626979,1,18,0,6,59,1,1,0,0,0,1,0.692307692307692,17,0,0,1,2,1,0,0,0
0,0,0,0.0,4.36028831850946,1,30,0,12,0,1,1,0,0,0,0,0.422535211267606,0,0,0,0,4,1,0,2,0
0,1,0,0.0,3.54643934467102,1,12,0,6,128,1,1,0,0,0,1,0.6,90,0,0,1,2,1,1,0,0
0,0,0,0.0,4.2089873002588,1,18,0,10,0,1,1,0,0,0,0,0.409090909090909,0,0,0,0,3,1,0,1,0
0,1,0,0.0,3.97756715711693,1,17,0,7,509,1,1,0,0,0,1,0.425,75,0,0,1,2,1,0,0,0
0,0,0,0.0,3.68200581476021,0,20,0,8,0,1,0,0,0,0,0,0.714285714285714,0,0,0,1,4,0,0,0,0
0,1,0,0.0,3.94454882778696,1,25,0,5,27,1,1,0,0,0,1,0.78125,23,0,0,1,2,1,1,0,0
0,0,0,0.0,3.87314067951313,0,19,0,5,0,1,1,0,0,0,0,0.730769230769231,0,0,0,1,2,0,0,0,0
0,0,0,0.0,4.08418371977919,0,32,0,6,0,1,1,0,0,0,0,0.8,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.86198351303561,0,25,0,6,0,1,1,0,0,0,0,0.757575757575758,0,0,0,1,2,0,0,0,0
0,1,0,0.0,3.67326968951511,1,17,0,6,37,1,1,0,0,0,0,0.68,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.03230324274395,1,19,0,6,61,1,1,0,0,0,1,0.703703703703704,41,0,0,1,2,1,0,0,0
0,1,0,0.0,4.31865337367476,1,23,0,8,11,1,1,0,0,0,1,0.511111111111111,55,0,0,1,3,1,0,0,0
0,1,0,0.0,3.88904953591417,1,23,0,7,19,1,1,0,0,0,1,0.741935483870968,12,0,0,1,3,1,0,0,0
0,1,0,0.0,4.16429908806447,1,27,0,7,30,1,0,0,0,0,1,0.771428571428572,44,0,0,1,3,0,1,0,0
0,1,0,0.0769230769230769,4.16429908806447,1,27,0,7,29,1,1,0,2,0,0,0.771428571428572,32,0,0,0,3,1,1,0,0
0,1,0,0.0,3.91340074566138,1,24,0,6,1,1,1,0,0,0,1,0.774193548387097,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.93872187554087,1,17,0,6,83,1,1,0,0,0,0,0.708333333333333,70,0,0,0,2,1,1,1,0
0,0,0,0.0,4.19000799357054,1,16,0,9,0,1,1,0,0,0,0,0.296296296296296,0,0,0,1,3,1,0,0,0
0,0,0,0.0,4.06806759319586,1,18,0,10,0,1,0,0,0,0,0,0.321428571428571,0,0,0,1,3,1,0,1,0
0,0,0,0.0,4.35866107441631,1,18,0,11,0,1,1,0,0,0,0,0.272727272727273,0,0,0,1,3,1,0,0,0
0,1,0,0.0769230769230769,3.7489948035251,1,13,0,7,203,1,1,0,1,0,1,0.619047619047619,47,0,0,0,2,1,0,1,0
0,1,0,0.0,3.72307418942857,1,17,0,6,109,1,1,0,0,0,1,0.68,44,0,0,1,2,1,0,0,0
0,1,0,0.0,4.04718240301417,1,22,0,8,12,1,0,0,0,0,0,0.5,5,0,0,1,3,1,1,0,0
0,1,0,0.0,3.9061983328101,1,17,0,8,510,1,1,0,0,0,1,0.425,75,0,0,1,3,1,0,0,0
0,0,0,0.0,4.05602096805788,0,19,0,5,0,1,1,0,0,0,0,0.730769230769231,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.99865254687817,0,26,0,6,0,1,1,0,0,0,0,0.764705882352941,0,0,0,1,2,0,0,0,0
0,1,0,0.0303030303030303,4.16589420839002,1,17,0,8,509,1,1,0,1,0,1,0.404761904761905,77,0,0,1,3,1,0,0,0
0,0,0,0.0,3.49060156295072,1,16,0,6,0,1,1,0,0,0,0,0.666666666666667,0,0,0,1,2,1,0,0,0
0,0,0,0.0,3.96501826628863,1,25,0,5,130,1,1,0,0,0,0,0.78125,76,0,0,1,2,1,1,0,0
0,1,0,0.0,3.89806851205884,1,23,0,5,194,1,1,0,0,0,0,0.766666666666667,133,0,0,1,2,1,0,0,0
0,1,0,0.0,3.85619629821938,1,19,0,6,3,1,1,0,0,0,0,0.703703703703704,5,0,0,1,2,1,0,0,0
0,0,0,0.0,4.16298074422591,1,31,0,8,0,1,0,0,0,0,0,0.794871794871795,0,0,0,1,3,1,0,1,0
0,1,0,0.0,4.09023401214514,1,22,0,5,36,1,1,0,0,0,0,0.758620689655172,4,0,0,1,2,1,0,0,0
0,0,0,0.0,4.17873829020436,1,17,0,8,0,1,1,0,0,0,0,0.447368421052632,0,0,0,1,2,1,0,0,0
0,0,0,0.0,4.02085512047121,0,27,0,5,0,1,1,0,0,0,0,0.794117647058824,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.46857662968787,0,16,0,5,0,1,1,0,0,0,0,0.695652173913044,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.76718346789146,0,18,0,7,0,1,1,0,0,0,0,0.692307692307692,0,0,0,1,3,0,0,0,0
0,0,0,0.0,3.9339903577563,1,20,0,9,137,1,1,0,0,0,0,0.454545454545455,52,0,0,1,4,0,0,0,0
0,0,0,0.0,3.99719987020791,1,22,0,9,0,1,0,0,0,0,0,0.536585365853659,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.93872187554087,1,17,0,5,71,1,1,0,0,0,1,0.708333333333333,27,0,0,1,2,1,1,0,0
0,1,0,0.0,3.93618043412976,1,15,0,6,0,1,1,0,0,0,0,0.652173913043478,3,0,0,1,2,1,0,0,0
0,1,0,0.0,3.67531086891237,1,15,0,6,2,1,1,0,0,0,1,0.652173913043478,0,0,0,1,2,1,0,0,0
0,0,0,0.266666666666667,4.37401622126886,1,12,0,11,181,1,1,0,8,0,0,0.244897959183673,0,0,0,1,3,1,0,1,0
0,0,0,0.166666666666667,4.33901688122819,1,16,0,10,0,1,1,0,6,0,0,0.307692307692308,0,0,0,1,3,1,0,0,0
0,1,0,0.0,4.09023401214515,1,21,0,7,110,1,1,0,0,0,1,0.724137931034483,46,0,0,1,3,1,0,0,0
0,1,0,0.0,3.60693673217532,1,15,0,6,15,1,1,0,0,0,1,0.681818181818182,11,0,0,1,3,1,1,0,0
0,0,0,0.0,3.70346518960165,1,18,0,5,141,1,1,0,0,0,1,0.72,39,0,0,1,2,1,1,0,0
0,1,0,0.0,4.0667842134731,1,24,0,5,0,1,1,0,0,0,0,0.774193548387097,3,0,0,1,2,1,0,0,0
0,1,0,0.0,3.71813906222957,1,24,0,6,2,1,1,0,0,0,1,0.75,3,0,0,1,2,1,0,0,0
0,1,0,0.0,3.78212222414531,1,19,0,6,96,1,1,0,0,0,0,0.703703703703704,32,0,0,1,2,0,1,0,0
0,0,0,0.0,4.29642681269415,1,19,0,14,0,1,1,0,0,0,0,0.279411764705882,0,0,0,1,3,1,0,0,0
0,0,0,0.0344827586206896,3.95531131663401,0,13,0,8,0,1,0,0,1,0,0,0.342105263157895,0,0,0,0,2,0,0,0,0
0,0,0,0.0,4.00952395947516,0,29,0,5,0,1,1,0,0,0,0,0.805555555555556,0,0,0,1,2,0,0,0,0
0,0,0,0.0,4.17337398770379,1,18,0,8,0,1,0,0,0,0,0,0.418604651162791,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.42733349389827,1,13,0,6,0,1,1,0,0,0,0,0.619047619047619,13,0,0,1,2,1,1,0,0
0,0,1,0.054054054054054,4.42146788019945,1,24,0,11,0,0,0,1,2,0,0,0.48,0,0,0,0,4,1,0,1,0
0,0,0,0.0,4.128123183516,1,22,0,9,0,1,0,0,0,0,0,0.305555555555556,0,0,0,1,3,1,0,0,0
0,0,0,0.0,4.04598035801278,1,18,0,10,0,1,1,0,0,0,0,0.439024390243902,0,0,0,1,4,1,0,0,0
0,1,0,0.0,3.9928705166359,1,28,0,5,0,1,0,0,0,0,1,0.8,18,0,0,1,2,1,0,0,0
0,1,0,0.0434782608695652,4.20780812363404,1,30,0,7,0,1,1,0,2,0,0,0.545454545454545,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.53831059561501,1,14,0,6,6,1,1,0,0,0,0,0.636363636363636,3,0,0,1,2,1,0,0,0
0,1,0,0.0,3.65726822961739,1,16,0,6,74,1,1,0,0,0,0,0.666666666666667,2,0,0,1,2,1,0,0,0
0,1,0,0.0,3.8828142771034,1,30,0,7,11,1,1,0,0,0,1,0.789473684210526,13,0,0,1,3,1,1,0,0
0,1,0,0.0,3.46328051781081,1,13,0,6,0,1,1,0,0,0,1,0.619047619047619,48,0,0,1,2,1,1,0,0
0,0,0,0.0,4.13520306731372,1,22,0,10,0,1,1,0,0,0,0,0.385964912280702,0,0,0,1,2,1,0,1,0
0,1,0,0.0,3.8852464442132,1,17,0,7,509,1,1,0,0,0,1,0.414634146341463,76,0,0,1,2,1,0,0,0
0,0,0,0.0476190476190476,3.93027037229346,0,20,0,5,0,1,1,0,1,0,0,0.740740740740741,0,0,0,0,2,0,0,0,0
0,1,0,0.0,3.99172929667218,1,24,0,7,77,1,1,0,0,0,1,0.75,20,0,0,1,3,1,1,0,0
0,1,0,0.0,3.75326968951511,1,17,0,6,56,1,0,0,0,0,1,0.68,28,0,0,1,2,1,1,0,0
0,0,0,0.0,4.03600694533095,1,27,0,6,0,1,1,0,0,0,0,0.771428571428572,0,0,0,1,2,1,0,0,0
0,1,0,0.088235294117647,3.93891297802264,1,16,0,9,0,1,1,0,3,0,0,0.347826086956522,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.78107601191461,1,22,0,6,33,1,1,0,0,0,1,0.733333333333333,16,0,0,1,2,1,0,0,0
0,0,1,0.0,4.50435064794392,1,15,0,15,0,1,1,1,0,0,0,0.189873417721519,0,0,0,1,2,1,0,1,0
