Levenshtein Distance,Body tags in source,Number of parameter,Digit to alphabet ratio,Entropy,IP Address,Host name length,Percentage Character,Special Characters,Total links,Word based distribution,Is www present,Question Mark,Numeric Character,At Character,Frame tag present,Domain to URL Ratio,Is domain suspicious,Google Search Feature,Https in URL,Is English word,Dots,ASN updation date,mailto: present,Dash,Label
0,0,0,0.0,3.79621760259006,1,19,0,6,0,1,0,0,0,0,0,0.730769230769231,0,0,0,1,3,0,0,0,0
0,1,0,0.0,4.0667842134731,1,24,0,5,539,1,0,0,0,0,1,0.774193548387097,91,0,0,1,2,1,0,0,0
0,1,0,0.0,4.03600694533096,1,28,0,6,245,1,0,0,0,0,1,0.8,85,0,0,1,3,1,1,0,0
10,0,0,0.0,3.78494182743764,1,14,0,5,0,1,0,0,0,0,0,0.666666666666667,0,1,0,1,2,0,0,0,0
0,0,0,0.05,4.02698683335929,1,19,0,5,0,1,0,0,1,0,0,0.730769230769231,0,0,0,0,2,1,0,0,0
0,1,0,0.0,3.89629152904593,1,21,0,6,17,1,0,0,0,0,1,0.75,0,0,0,1,3,1,0,0,0
9,1,0,0.0,3.66193287237358,1,20,0,5,64,1,0,0,0,0,1,0.740740740740741,11,0,0,1,2,0,0,0,0
0,1,0,0.0,3.85538854220753,1,17,0,5,136,1,0,0,0,0,1,0.708333333333333,50,0,0,1,2,1,0,0,0
0,1,0,0.0,3.91211389097223,1,20,0,5,407,1,0,0,0,0,0,0.740740740740741,184,0,0,1,2,1,0,0,0
0,0,0,0.0,3.70247151221975,1,22,0,5,0,1,0,0,0,0,0,0.758620689655172,0,0,0,1,2,1,0,0,0
0,1,0,0.0,3.44740150470592,1,15,0,6,190,1,0,0,0,0,1,0.681818181818182,16,0,0,1,3,1,1,0,0
0,0,0,0.0,3.30875135124717,1,14,0,5,0,1,0,0,0,0,0,0.666666666666667,0,0,0,1,2,0,0,0,0
0,0,0,0.0,3.93027037229345,1,20,0,6,0,1,0,0,0,0,0,0.740740740740741,0,0,0,1,3,1,0,0,0
0,1,0,0.0,3.67290559532006,1,23,0,6,211,1,0,0,0,0,1,0.766666666666667,0,0,0,0,2,1,0,1,0
0,1,0,0.0,3.67326968951511,1,18,0,6,2,1,0,0,0,0,0,0.72,3,0,0,1,3,0,0,0,0
0,0,0,0.0,3.95822916866988,0,20,0,5,0,1,0,0,0,0,0,0.740740740740741,0,0,0,1,2,0,0,0,0
0,1,0,0.0,3.66353275480426,1,15,0,5,0,1,0,0,0,0,0,0.681818181818182,0,0,0,1,2,1,0,0,0
0,1,0,0.0,4.22932735194002,1,30,0,6,11,1,0,0,0,0,0,0.810810810810811,6,0,0,0,2,1,0,1,0
