Body tags in source,TLD in path,Numeric Character,Percentage Character,Google Search Feature,IP Address,Https in URL,Entropy,Number of parameter,Is English word,Dots,Levenshtein Distance,ASN updation date,Host name length,Total links,Digit to alphabet ratio,Is www present,Label
1,0,0,0,0,1,0,3.815410725,0,1,3,0,1,21,41,0.0,0,0
1,0,0,0,0,1,0,3.88333746,0,0,2,0,1,22,0,0.0,0,0
1,0,0,0,0,1,0,3.840402547,0,0,2,0,1,22,87,0.0,0,0
1,0,0,0,0,1,0,3.68418372,0,1,2,0,1,13,55,0.0,0,0
1,0,0,0,0,1,0,3.762267391,0,1,2,0,1,16,152,0.0,0,0
1,0,0,0,0,1,0,3.723074189,0,1,3,0,0,18,0,0.0,0,0
0,0,0,0,0,1,0,3.558518613,0,1,3,0,0,14,0,0.0,0,0
1,0,0,0,0,1,0,4.132944045,0,0,2,0,1,19,51,0.0,0,0
1,0,0,0,0,1,0,3.983195634,0,1,2,0,1,26,222,0.0,0,0
0,0,0,0,0,1,0,3.739877575,0,1,2,0,1,28,0,0.0,0,0
0,0,0,0,0,1,0,3.831401845,0,1,2,0,0,23,0,0.0,0,0
1,0,0,0,0,1,0,3.834962501,0,0,2,0,0,17,146,0.0,0,0
1,0,0,0,0,1,0,3.78418372,0,1,2,0,1,13,82,0.0,0,0
1,0,0,0,0,1,0,3.984234165,0,1,2,0,1,27,0,0.0,0,0
0,0,0,0,0,1,0,3.92921445519922,0,1,3,9,1,24,0,0.0,0,0
1,0,5,0,0,1,0,3.91326968951511,0,0,2,9,1,18,75,0.333333333333333,0,0
0,0,0,0,0,1,0,4.02085512047121,0,1,2,9,1,27,0,0.0,0,0
1,0,0,0,3,1,0,3.58418371977919,0,1,2,9,1,13,1,0.0,0,0
1,0,0,0,1,1,0,3.8841550945958,0,1,2,8,1,20,10,0.0,0,0
1,0,0,0,0,1,0,3.38346518960165,0,1,2,56,1,18,3,0.0,0,0
0,0,0,0,0,1,0,3.68008935369481,0,1,3,30,1,20,0,0.0,0,0
0,0,0,0,0,0,0,3.66353275480426,0,1,3,12,0,15,0,0.0,0,0
1,0,0,0,1,1,0,3.75416342776888,0,1,2,18,1,20,26,0.0,0,0
1,0,0,0,2,1,0,3.54643934467102,0,1,2,9,1,13,262,0.0,0,0
0,0,0,0,0,0,0,3.46346518960165,0,1,2,13,1,18,0,0.0,0,0
0,0,0,0,0,1,0,4.03140184539217,0,1,3,16,1,23,0,0.0,0,0
1,0,0,0,0,1,0,3.86346518960165,0,1,2,9,1,18,4,0.0,0,0
1,0,0,0,2,1,0,3.73600694644766,0,1,2,9,1,20,203,0.0,0,0
0,0,0,0,0,0,0,3.73366068968819,0,1,2,25,0,18,0,0.0,0,0
1,0,0,0,9,1,0,3.95348502844936,0,0,2,12,1,26,114,0.0,0,0
0,0,0,0,3,1,0,3.66353275480426,0,1,2,9,1,15,0,0.0,0,0
1,0,0,0,2,1,0,3.97791687469364,0,1,2,9,1,24,0,0.0,0,0
0,0,0,0,1,1,0,3.78039465412319,0,1,2,8,1,21,0,0.0,0,0
1,0,0,0,3,1,0,3.9861879650463,0,1,2,9,1,20,55,0.0,0,0
1,0,0,0,0,1,0,4.11057724333164,0,0,2,9,1,21,168,0.0,0,0
1,0,0,0,6,1,0,3.78494182743764,0,1,2,8,1,14,13,0.0,0,0
1,0,0,0,0,1,0,3.653756708287,0,1,3,9,0,14,234,0.0,0,0
1,0,0,0,0,1,0,3.62117554291947,0,1,2,9,1,16,0,0.0,0,0
1,0,0,0,4,1,0,3.46132014021101,0,1,2,33,1,11,24,0.0,0,0
1,0,0,0,2,1,0,3.21952828229955,0,1,2,9,1,10,0,0.0,0,0
0,0,0,0,2,1,0,3.60693673217532,0,1,2,8,1,15,0,0.0,0,0
1,0,0,0,2,1,0,3.85730685689813,0,1,2,9,1,22,102,0.0,0,0
1,0,0,0,2,1,0,3.47135448701393,0,1,2,9,0,12,87,0.0,0,0
1,0,0,0,12,1,0,3.77736279506417,0,1,2,9,1,19,0,0.0,0,0
1,0,0,0,0,0,0,3.66353275480426,0,1,2,9,1,15,1,0.0,0,0
0,0,1,0,0,0,0,3.7887549139935,0,0,2,36,0,15,0,0.0625,0,0
0,0,9,0,0,0,0,4.03140184539217,0,0,2,37,0,23,0,0.5625,0,0
0,0,0,0,0,0,0,4.01158543183743,0,1,3,8,1,28,0,0.0,0,0
0,0,0,0,0,0,0,3.53641423712223,0,1,4,16,0,19,0,0.0,0,0
1,0,0,0,2,1,0,3.81008102052173,0,1,2,9,1,20,541,0.0,0,0
1,0,0,0,2,1,0,3.97366068968819,0,1,2,8,1,18,69,0.0,0,0
1,0,0,0,2,1,0,3.86346518960165,0,1,3,9,1,18,78,0.0,0,0
1,0,0,0,0,1,0,3.90217481421173,0,1,2,17,1,19,30,0.0,0,0
1,0,0,0,2,1,0,3.96473517872551,0,1,2,9,1,23,127,0.0,0,0
1,0,0,0,0,1,0,4.12323142879762,0,1,2,9,1,23,0,0.0,0,0
1,0,0,0,0,1,0,3.653756708287,0,1,2,49,1,14,0,0.0,0,0
1,0,0,0,2,1,0,3.75591309517583,0,1,3,9,1,23,21,0.0,0,0
1,0,0,0,2,1,0,3.79508858639773,0,1,2,9,1,16,0,0.0,0,0
0,0,0,0,0,1,0,3.94346518960165,0,1,2,9,1,18,0,0.0,0,0
1,0,0,0,11,1,0,3.85619629821938,0,1,2,8,1,20,52,0.0,0,0
0,0,0,0,0,0,0,3.81366068968819,0,1,3,9,1,18,0,0.0,0,0
1,0,0,0,0,1,0,3.46857662968787,0,1,2,9,1,16,182,0.0,0,0
1,0,0,0,2,1,0,3.76226739065149,0,1,2,9,1,16,29,0.0,0,0
0,0,0,0,0,0,0,3.68970373219955,0,1,2,20,1,14,0,0.0,0,0
1,0,0,0,1,1,0,3.79621760259006,0,1,3,8,0,19,106,0.0,0,0
1,0,0,0,0,1,0,3.68970373219955,0,0,2,9,0,14,16,0.0,0,0
1,0,0,0,2,1,0,4.01218840396866,0,1,2,9,1,21,24,0.0,0,0
1,0,0,0,2,1,0,3.69784582308441,0,1,2,9,1,15,61,0.0,0,0
1,0,0,0,1,1,0,3.96142927098964,0,0,2,9,1,22,174,0.0,0,0
1,0,0,0,11,1,0,3.7720552088742,0,1,2,9,1,17,54,0.0,0,0
1,0,0,0,2,1,0,3.85182322555177,0,1,2,9,1,21,40,0.0,0,0
1,0,0,0,1,1,0,3.97366068968819,0,0,2,8,1,18,72,0.0,0,0
1,0,0,0,1,1,0,4.03914867190307,0,1,2,8,1,21,0,0.0,0,0
1,0,2,0,0,1,0,3.88204510813686,0,0,2,9,1,16,17,0.125,0,0
0,0,0,0,3,1,0,3.21584117268375,0,1,2,9,1,12,120,0.0,0,0
1,0,0,0,1,1,0,4.03914867190307,0,0,2,9,1,21,0,0.0,0,0
1,0,0,0,10,1,0,3.94346518960165,0,1,2,9,1,18,78,0.0,0,0
0,0,0,0,2,1,0,4.0081320258334,0,1,2,9,1,19,0,0.0,0,0
1,0,0,0,2,1,0,3.78494182743764,0,1,2,8,1,14,382,0.0,0,0
0,0,0,0,0,1,0,3.86346518960165,0,1,2,9,1,18,0,0.0,0,0
1,0,0,0,8,1,0,3.49922754172336,0,0,2,30,1,14,231,0.0,0,0
1,0,0,0,0,1,0,3.950063756,0,1,2,0,1,19,47,0.0,0,0
0,0,3,0,0,1,0,3.81366069,0,0,2,0,1,18,0,0.176470588,0,0
0,0,0,0,0,0,0,4.056564762,0,1,4,0,1,23,0,0.0,0,0
0,0,0,0,0,1,0,3.89366069,0,1,2,0,1,18,28,0.0,0,0
1,0,0,0,0,1,0,4.109793483,0,1,3,0,0,37,129,0.0,0,0
1,0,0,0,0,1,0,3.446439345,0,1,2,0,1,13,50,0.0,0,0
0,0,0,0,0,1,0,3.67326969,0,1,2,0,1,18,0,0.0,0,0
1,0,0,0,0,1,0,4.218128821,0,1,3,0,0,29,164,0.0,0,0
1,0,0,0,0,1,0,3.621175543,0,1,2,0,1,16,408,0.0,0,0
1,0,0,0,0,1,0,3.784941827,0,1,2,0,1,14,1,0.0,0,0
1,0,0,0,0,1,0,3.945464952,0,1,2,0,1,26,32,0.0,0,0
1,0,0,0,0,1,0,3.572623664,0,1,2,0,1,15,150,0.0,0,0
1,0,0,0,0,1,0,3.675310869,0,1,2,0,1,16,1,0.0,0,0
0,0,0,0,0,1,0,4.090234012,0,1,2,0,1,22,0,0.0,0,0
1,0,0,0,0,1,0,3.726474118,0,1,2,0,1,21,390,0.0,0,0
1,0,2,0,0,1,0,4.209867122,0,0,2,0,1,19,0,0.105263158,0,0
1,0,0,0,0,1,0,3.849223912,0,1,2,0,1,16,70,0.0,0,0
1,0,0,0,0,1,0,3.40726823,0,1,2,0,1,17,70,0.0,0,0
1,0,0,0,0,1,0,3.43326969,0,1,2,0,1,18,0,0.0,0,0
1,0,0,0,0,1,0,3.978333581,0,1,3,0,1,22,0,0.0,0,0
1,0,0,0,0,1,0,4.026986833,0,1,2,0,1,19,135,0.0,0,0
0,0,0,0,0,1,0,4.093400349,0,1,2,0,1,29,0,0.0,0,0
1,0,0,0,0,1,0,3.748994804,0,1,3,0,1,14,73,0.0,0,0
1,0,0,0,0,1,0,4.081532377,0,1,3,0,0,26,0,0.0,0,0
1,0,0,0,0,1,0,3.46132014,0,1,2,0,1,11,95,0.0,0,0
1,0,0,0,0,1,0,3.894739663,0,1,2,0,1,23,46,0.0,0,0
0,0,1,0,0,1,0,3.576617645,0,0,2,0,1,12,0,0.076923077,0,0
1,0,0,0,0,1,0,3.978333581,0,1,2,0,1,22,62,0.0,0,0
0,0,0,0,0,1,0,3.572623664,0,1,2,0,0,15,0,0.0,0,0
1,0,0,0,0,1,0,3.572623664,0,0,2,0,1,15,3,0.0,0,0
1,0,0,0,0,1,0,3.803508855,0,1,2,0,1,17,502,0.0,0,0
1,0,0,0,0,1,0,3.83326969,0,1,2,0,1,18,305,0.0,0,0
1,0,0,0,0,1,0,3.923251797,0,1,2,0,1,21,0,0.0,0,0
0,0,0,0,0,1,0,3.882045108,0,1,2,0,1,16,0,0.0,0,0
1,0,0,0,0,0,0,3.642489673,0,1,3,8,0,16,82,0.0,0,0
1,0,0,0,2,1,0,3.546439345,0,1,3,9,0,13,125,0.0,0,0
1,0,0,0,10,1,0,4.028946392,0,1,2,9,1,26,312,0.0,0,0
1,0,0,0,1,1,0,3.913400746,0,0,2,8,1,24,37,0.0,0,0
0,0,0,0,0,1,0,4.162573265,0,1,2,16,1,29,0,0.0,0,0
1,0,0,0,0,1,0,3.46132014,0,1,2,9,0,11,207,0.0,0,0
0,0,0,0,0,1,0,3.576617645,0,1,2,9,1,12,0,0.0,0,0
1,0,0,0,3,1,0,3.75326969,0,1,2,9,1,18,370,0.0,0,0
1,0,0,0,2,1,0,3.96900163,0,1,2,9,1,16,280,0.0,0,0
1,0,0,0,7,1,0,3.856196298,0,1,2,8,1,20,0,0.0,0,0
1,0,0,0,2,1,0,3.78346519,0,1,2,9,1,18,298,0.0,0,0
1,0,0,0,7,1,0,3.708132065,0,1,2,9,1,16,26,0.0,0,0
1,0,0,0,11,0,0,3.603412343,0,0,2,9,1,24,201,0.0,0,0
1,0,0,0,0,1,0,3.594465637,0,1,2,9,1,14,186,0.0,0,0
1,0,0,0,0,1,0,4.06610894,0,1,2,9,1,21,55,0.0,0,0
1,0,0,0,3,1,0,3.869331261,0,1,2,9,1,21,70,0.0,0,0
0,0,0,0,0,0,0,3.909368064,0,0,2,18,0,22,0,0.0,0,0
0,0,0,0,9,1,0,3.822579762,0,1,3,41,1,23,0,0.0,0,0
1,0,0,0,0,1,0,3.89366069,0,1,2,31,1,18,0,0.0,0,0
1,0,0,0,2,1,0,3.81366069,0,1,2,9,1,18,0,0.0,0,0
0,0,0,0,1,1,0,3.990705474,0,1,3,9,1,31,0,0.0,0,0
1,0,0,0,0,1,0,3.639079571,0,1,2,9,1,18,0,0.0,0,0
0,0,0,0,2,1,0,3.758867099,0,0,2,9,1,22,192,0.0,0,0
0,0,0,0,7,1,0,3.88333746,0,1,3,34,1,22,545,0.0,0,0
1,0,0,0,1,1,0,3.74095326,0,1,2,9,1,16,137,0.0,0,0
1,0,0,0,1,1,0,3.825251737,0,1,2,9,1,19,29,0.0,0,0
0,0,0,0,0,0,0,3.857016588,0,0,2,136,0,28,0,0.0,0,0
1,0,0,0,0,1,0,3.998762065,0,1,4,594,0,35,226,0.0,0,0
1,0,0,0,2,1,0,3.97366069,0,1,2,9,1,18,171,0.0,0,0
1,0,0,0,0,0,0,3.386842188,0,0,2,8,1,17,36,0.0,0,0
1,0,0,0,0,1,0,4.02346519,0,1,2,9,1,18,156,0.0,0,0
0,0,0,0,0,1,0,4.116264616,0,1,2,16,1,22,274,0.0,0,0
