Query length,ASN updation date,Levenshtein Distance,Google Search Feature,Numeric Character,Is domain suspicious,Dash,Semicolon,Equals,Is www present,Sensitive Words,Https in URL,Special Characters,Dots,Domain Age in Days,English Letters,Exec() Function,Host name length,Label
0,1,0,0,1,0,4,0,0,1,0,1,12,2,3593,48,0,13,0
0,0,0,0,0,0,0,0,0,1,0,1,8,3,2624,41,0,12,0
0,1,8,2,0,0,6,0,0,1,0,1,14,2,6774,61,0,16,0
0,1,0,0,4,3,1,0,0,1,1,1,9,2,2209,30,0,14,0
0,1,0,0,4,0,0,0,0,1,0,1,11,3,4720,38,0,15,0
0,0,0,0,0,0,0,0,0,1,0,1,9,4,11826,38,0,15,0
0,1,0,0,4,21,0,0,0,1,2,1,13,2,8823,68,0,18,0
0,1,8,2,0,30,7,0,0,1,4,1,16,3,3593,72,0,25,0
0,1,0,0,8,3,2,0,0,1,1,1,10,2,1095,40,0,15,0
0,1,0,0,4,0,0,0,0,1,0,1,10,3,0,44,0,24,0
0,1,0,0,5,0,0,0,0,1,0,1,12,3,0,49,0,16,0
0,1,0,0,7,0,0,0,0,1,0,1,9,3,4988,39,0,14,0
0,1,0,0,0,143,0,0,0,1,59,1,6,2,2230,24,0,21,0
0,1,0,0,0,0,6,0,0,1,0,1,14,3,2918,61,0,14,0
0,1,0,0,6,0,2,0,0,1,0,1,11,2,2918,57,0,16,0
0,1,0,0,12,0,5,0,0,1,0,1,16,3,2921,82,0,19,0
0,1,0,0,8,85,6,0,0,1,8,1,16,2,8593,64,5,22,0
0,1,0,0,19,0,8,0,0,1,0,1,18,3,3593,71,0,20,0
0,1,0,0,0,0,0,0,0,1,0,1,11,3,0,42,0,20,0
0,1,0,0,7,34,0,0,0,1,16,1,8,2,1574,24,16,12,0
0,1,0,0,5,0,1,0,0,1,0,1,8,3,3971,34,0,16,0
0,1,0,0,0,0,2,0,0,1,0,1,8,2,2043,39,0,15,0
0,1,0,0,7,23,0,0,0,1,14,1,6,2,3902,16,0,13,0
32,1,0,0,3,0,0,0,3,1,0,1,17,4,0,71,0,24,0
108,1,0,0,22,0,18,0,2,1,0,1,31,3,3852,93,0,19,0
0,1,0,0,10,0,1,0,0,1,0,1,7,2,9288,18,0,14,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,23,0,20,0
0,1,0,0,15,0,2,0,0,1,0,1,10,2,6876,41,0,16,0
0,1,0,0,8,3,6,0,0,1,1,1,14,2,1095,61,0,15,0
0,0,0,0,0,0,1,0,0,1,0,1,8,3,4266,28,0,27,0
0,1,0,0,0,97,2,0,0,1,13,1,9,3,3259,37,0,21,0
11,1,0,0,16,0,2,0,1,1,0,1,12,4,3093,28,0,16,0
0,1,0,0,0,0,3,0,0,1,0,1,10,2,11106,44,0,18,0
0,0,0,0,0,0,0,0,0,1,0,1,7,3,4266,40,0,38,0
0,1,0,0,4,18,0,0,0,1,0,1,8,2,4274,19,0,14,0
0,1,0,0,5,0,3,0,0,1,0,1,16,4,3593,62,0,33,0
0,1,0,0,0,0,8,0,0,1,0,1,15,3,3929,67,0,16,0
0,1,0,0,4,0,0,0,0,1,0,1,7,3,3259,55,0,34,0
0,1,0,0,0,0,2,0,0,1,0,1,11,3,4086,54,0,34,0
0,0,0,0,6,0,4,0,0,1,0,1,14,4,4266,75,0,41,0
0,0,0,0,0,0,0,0,0,1,0,1,7,3,4266,22,0,20,0
0,1,0,0,0,0,0,0,0,1,0,1,10,4,0,60,0,21,0
0,1,0,0,8,3,4,0,0,1,1,1,12,2,1095,59,0,15,0
0,1,0,0,11,0,1,0,0,1,0,1,9,2,3181,34,0,16,0
0,1,0,0,3,0,0,0,0,1,0,1,10,3,1725,51,0,20,0
0,1,0,0,0,0,1,0,0,1,0,1,14,2,9935,66,0,29,0
0,0,0,0,0,0,0,0,0,1,0,1,7,3,4266,32,0,30,0
0,1,0,0,0,35,5,0,0,1,5,1,12,2,2918,52,0,12,0
0,1,0,0,10,0,0,0,0,1,0,1,8,2,1948,26,0,15,0
0,1,0,0,0,0,1,0,0,1,0,1,8,2,3852,36,0,16,0
0,1,0,0,6,0,17,0,0,1,0,1,28,3,11728,125,0,16,0
0,1,0,0,13,0,11,0,0,1,0,1,21,3,3259,85,0,23,0
0,1,0,0,0,0,0,0,0,1,0,1,13,3,0,39,0,20,0
0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,20,0,17,0
0,1,0,0,0,0,0,0,0,1,0,1,8,3,3593,36,0,19,0
0,1,0,0,1,0,0,0,0,1,0,1,10,2,2293,45,0,18,0
0,1,0,0,0,137,1,0,0,1,52,1,8,2,5242,49,0,23,0
15,1,0,0,3,93,1,0,1,1,16,1,11,3,3259,54,2,26,0
0,1,0,0,0,0,1,0,0,1,0,1,8,3,3593,38,0,15,0
0,1,0,0,0,41,0,0,0,1,11,1,7,3,11604,29,0,16,0
6,1,0,0,0,14,0,0,1,1,1,1,9,2,3593,38,0,19,0
0,0,35,0,0,0,0,0,0,1,0,1,6,2,0,31,0,28,0
0,1,0,0,9,29,8,0,0,1,9,1,21,3,2624,92,0,20,0
13,1,9,2,3,3,0,0,1,1,1,1,8,2,4266,32,0,15,0
0,1,0,0,0,0,2,0,0,1,0,1,12,3,1655,52,0,28,0
0,1,9,6,0,25,5,0,0,1,10,1,12,2,2918,51,0,11,0
0,1,0,0,0,157,0,0,0,1,43,1,5,2,4086,18,0,15,0
